fecha,hora,tienda_id,producto_id,cantidad,medio_pago
2026-09-17,15:14:13,2,12,4,Efectivo
2026-09-17,16:42:13,2,15,6,Tarjeta
2026-09-17,15:43:10,1,4,6,Tarjeta
2026-09-17,15:35:30,1,3,2,Efectivo
2026-09-17,15:03:32,1,9,1,Tarjeta
2026-09-17,17:55:50,4,11,3,Efectivo
2026-09-17,18:26:07,3,2,2,Efectivo
2026-09-17,19:40:23,4,12,5,Tarjeta
2026-09-17,20:42:14,2,13,2,Yape/Plin
2026-09-17,13:26:20,1,7,6,Tarjeta
2026-09-17,10:13:06,2,6,5,Tarjeta
2026-09-17,15:36:24,1,1,1,Tarjeta
2026-09-17,14:36:50,1,8,5,Yape/Plin
2026-09-17,20:23:53,4,18,5,Yape/Plin
2026-09-17,14:42:05,2,21,2,Yape/Plin
2026-09-17,09:34:09,1,16,2,Tarjeta
2026-09-17,09:57:44,1,20,5,Yape/Plin
2026-09-17,18:37:51,4,13,4,Tarjeta
2026-09-17,21:24:47,1,14,6,Tarjeta
2026-09-17,14:20:49,4,16,4,Yape/Plin
2026-09-17,14:28:40,4,14,2,Efectivo
2026-09-17,21:00:44,2,2,6,Yape/Plin
2026-09-17,21:32:41,3,14,3,Efectivo
2026-09-17,14:44:10,1,20,2,Efectivo
2026-09-17,13:32:57,3,16,4,Tarjeta
2026-09-17,19:22:54,4,17,1,Yape/Plin
2026-09-17,21:08:20,4,14,4,Tarjeta
2026-09-17,16:02:31,1,9,6,Tarjeta
2026-09-17,17:58:56,1,4,5,Yape/Plin
2026-09-17,19:11:16,1,4,5,Tarjeta
2026-09-17,12:20:33,3,21,6,Tarjeta
2026-09-17,21:47:41,3,15,4,Yape/Plin
2026-09-17,18:21:04,1,4,6,Efectivo
2026-09-17,17:25:59,4,17,5,Tarjeta
2026-09-17,15:13:34,3,11,1,Yape/Plin
2026-09-17,08:05:11,2,17,2,Yape/Plin
2026-09-17,14:12:22,3,8,6,Tarjeta
2026-09-17,16:02:55,1,6,4,Yape/Plin
2026-09-17,17:08:39,4,1,6,Tarjeta
2026-09-17,08:07:04,3,11,4,Tarjeta
2026-09-17,10:43:35,3,16,5,Tarjeta
2026-09-17,20:12:20,3,3,3,Yape/Plin
2026-09-17,19:03:21,3,4,2,Tarjeta
2026-09-17,08:12:03,2,18,4,Yape/Plin
2026-09-17,16:10:42,1,4,2,Yape/Plin
2026-09-17,19:11:58,1,16,5,Yape/Plin
2026-09-17,20:25:45,1,1,4,Tarjeta
2026-09-17,20:26:05,3,1,5,Tarjeta
2026-09-17,08:38:28,3,13,6,Yape/Plin
2026-09-17,16:12:49,1,6,4,Efectivo
2026-09-17,11:46:38,2,19,2,Efectivo
2026-09-17,13:34:47,3,17,2,Efectivo
2026-09-17,21:50:29,1,13,5,Yape/Plin
2026-09-17,20:25:01,2,6,3,Yape/Plin
2026-09-17,15:07:04,2,18,5,Efectivo
2026-09-17,16:01:11,3,3,1,Tarjeta
2026-09-17,17:19:33,1,3,3,Yape/Plin
2026-09-17,13:48:37,3,21,6,Tarjeta
2026-09-17,21:43:56,4,16,3,Yape/Plin
2026-09-17,20:26:05,1,10,2,Efectivo
2026-09-17,10:01:16,1,10,1,Yape/Plin
2026-09-17,09:57:33,2,10,3,Tarjeta
2026-09-17,16:30:00,2,2,5,Efectivo
2026-09-17,14:03:54,1,21,1,Efectivo
2026-09-17,18:16:07,3,4,4,Efectivo
2026-09-17,21:18:20,1,16,6,Efectivo
2026-09-17,11:44:36,3,14,3,Yape/Plin
2026-09-17,11:38:55,4,5,4,Tarjeta
2026-09-17,19:02:59,4,17,1,Yape/Plin
2026-09-17,18:33:51,3,14,4,Efectivo
2026-09-17,11:41:55,3,11,4,Tarjeta
2026-09-17,14:27:22,3,15,5,Tarjeta
2026-09-17,11:18:03,1,17,4,Tarjeta
2026-09-17,20:23:09,2,10,4,Efectivo
2026-09-17,18:53:22,3,21,5,Tarjeta
2026-09-17,09:35:55,3,9,5,Tarjeta
2026-09-17,13:49:29,3,13,5,Efectivo
2026-09-17,20:08:45,2,1,3,Tarjeta
2026-09-17,17:36:20,2,2,3,Tarjeta
2026-09-17,17:21:10,3,14,4,Yape/Plin
2026-09-17,15:20:35,3,20,1,Tarjeta
2026-09-17,13:11:56,1,17,4,Yape/Plin
2026-09-17,14:14:58,3,12,6,Yape/Plin
2026-09-17,19:07:56,3,9,2,Efectivo
2026-09-17,18:36:19,4,4,1,Tarjeta
2026-09-17,17:10:11,3,20,3,Tarjeta
2026-09-17,09:38:49,2,16,6,Tarjeta
2026-09-17,11:47:21,2,13,6,Efectivo
2026-09-17,17:08:31,2,6,3,Yape/Plin
2026-09-17,21:17:46,1,14,5,Efectivo
2026-09-17,15:40:58,1,5,4,Efectivo
2026-09-17,16:41:01,1,21,6,Efectivo
2026-09-17,18:12:01,1,8,3,Efectivo
2026-09-17,16:16:12,2,2,5,Yape/Plin
2026-09-17,13:00:01,2,16,3,Efectivo
2026-09-17,16:01:24,3,13,4,Tarjeta
2026-09-17,08:49:16,2,7,4,Efectivo
2026-09-17,19:07:49,3,2,2,Yape/Plin
2026-09-17,21:03:53,1,14,6,Efectivo
2026-09-17,12:13:23,4,18,4,Yape/Plin
2026-09-17,13:56:23,2,20,4,Yape/Plin
2026-09-17,13:02:43,3,2,2,Tarjeta
2026-09-17,12:07:55,2,11,4,Tarjeta
2026-09-17,08:25:49,3,10,3,Tarjeta
2026-09-17,19:29:32,2,12,5,Efectivo
2026-09-17,14:07:14,1,21,1,Tarjeta
2026-09-17,08:45:30,3,9,6,Tarjeta
2026-09-17,14:50:13,1,12,1,Tarjeta
2026-09-17,20:04:51,2,14,1,Tarjeta
2026-09-17,08:12:42,1,2,4,Tarjeta
2026-09-17,14:11:35,1,5,6,Yape/Plin
2026-09-17,10:06:44,2,7,1,Efectivo
2026-09-17,10:32:24,4,21,4,Yape/Plin
2026-09-17,08:25:50,2,8,2,Efectivo
2026-09-17,14:53:32,4,17,3,Tarjeta
2026-09-17,21:29:39,2,7,1,Tarjeta
2026-09-17,09:50:38,3,17,3,Tarjeta
2026-09-17,17:57:55,3,1,1,Yape/Plin
2026-09-17,18:38:11,3,12,2,Yape/Plin
2026-09-17,13:02:50,3,16,6,Yape/Plin
2026-09-17,18:50:04,2,14,2,Yape/Plin
2026-09-17,17:37:31,4,8,6,Tarjeta
2026-09-17,16:32:46,1,21,6,Yape/Plin
2026-09-17,08:17:53,4,2,4,Efectivo
2026-09-17,11:16:44,2,10,6,Tarjeta
2026-09-17,11:50:20,4,6,1,Efectivo
2026-09-17,13:53:07,4,7,5,Efectivo
2026-09-17,08:29:58,2,17,2,Tarjeta
2026-09-17,10:15:50,1,7,1,Yape/Plin
2026-09-17,14:34:15,3,3,6,Tarjeta
2026-09-17,16:00:55,4,4,4,Efectivo
2026-09-17,12:21:06,4,12,2,Efectivo
2026-09-17,20:12:27,3,6,3,Efectivo
2026-09-17,13:37:15,4,9,5,Efectivo
2026-09-17,14:55:36,4,10,2,Yape/Plin
2026-09-17,12:27:42,3,16,6,Efectivo
2026-09-17,20:59:59,4,19,6,Tarjeta
2026-09-17,20:10:47,2,12,4,Yape/Plin
2026-09-17,13:16:57,1,6,1,Efectivo
2026-09-17,18:34:15,2,3,2,Yape/Plin
2026-09-17,19:34:57,3,16,5,Tarjeta
