fecha,hora,tienda_id,producto_id,cantidad,medio_pago
2026-09-15,18:04:16,2,7,1,Yape/Plin
2026-09-15,19:58:49,3,9,1,Tarjeta
2026-09-15,15:08:42,4,1,6,Yape/Plin
2026-09-15,10:53:18,4,10,5,Yape/Plin
2026-09-15,15:28:35,1,13,1,Efectivo
2026-09-15,09:23:01,1,16,1,Yape/Plin
2026-09-15,14:43:47,2,16,3,Tarjeta
2026-09-15,20:08:57,2,11,3,Tarjeta
2026-09-15,15:32:03,1,3,5,Tarjeta
2026-09-15,14:30:39,3,12,5,Yape/Plin
2026-09-15,13:41:35,1,6,1,Efectivo
2026-09-15,10:13:59,3,7,5,Tarjeta
2026-09-15,15:05:42,2,12,2,Tarjeta
2026-09-15,20:04:21,1,17,1,Efectivo
2026-09-15,19:06:21,3,2,2,Efectivo
2026-09-15,08:17:51,1,5,5,Tarjeta
2026-09-15,18:21:30,1,18,5,Yape/Plin
2026-09-15,11:54:43,2,18,3,Efectivo
2026-09-15,10:46:08,3,15,3,Efectivo
2026-09-15,10:06:15,3,15,2,Tarjeta
2026-09-15,21:43:31,3,6,5,Efectivo
2026-09-15,19:08:54,4,1,4,Yape/Plin
2026-09-15,15:23:14,1,2,4,Tarjeta
2026-09-15,10:22:44,1,18,6,Tarjeta
2026-09-15,21:13:36,3,6,2,Efectivo
2026-09-15,20:41:55,1,12,5,Tarjeta
2026-09-15,12:48:43,3,1,5,Tarjeta
2026-09-15,13:46:33,1,18,5,Tarjeta
2026-09-15,21:49:21,1,14,3,Tarjeta
2026-09-15,11:32:41,4,6,3,Yape/Plin
2026-09-15,19:49:54,4,8,5,Efectivo
2026-09-15,11:10:31,3,6,6,Tarjeta
2026-09-15,08:20:26,3,18,4,Tarjeta
2026-09-15,15:06:23,3,19,6,Yape/Plin
2026-09-15,16:47:55,2,12,1,Efectivo
2026-09-15,08:47:37,1,19,3,Tarjeta
2026-09-15,21:50:23,2,5,4,Yape/Plin
2026-09-15,09:09:28,2,9,4,Tarjeta
2026-09-15,19:09:50,1,10,3,Efectivo
2026-09-15,12:41:15,3,2,1,Efectivo
2026-09-15,09:23:21,3,8,6,Yape/Plin
2026-09-15,18:08:20,2,4,6,Tarjeta
2026-09-15,14:03:48,4,14,3,Tarjeta
2026-09-15,08:02:03,1,6,6,Yape/Plin
2026-09-15,09:02:12,4,6,6,Yape/Plin
2026-09-15,08:23:57,1,14,2,Yape/Plin
2026-09-15,11:31:27,2,19,4,Yape/Plin
2026-09-15,11:47:41,3,7,1,Tarjeta
2026-09-15,11:43:02,3,12,1,Yape/Plin
2026-09-15,12:22:35,4,4,5,Efectivo
2026-09-15,15:48:37,3,13,1,Tarjeta
2026-09-15,14:15:19,4,4,1,Yape/Plin
2026-09-15,16:38:25,2,10,3,Yape/Plin
2026-09-15,14:41:02,3,19,1,Tarjeta
2026-09-15,11:19:36,2,4,3,Yape/Plin
2026-09-15,17:22:41,3,5,1,Yape/Plin
